group,home_team,away_team,date,one_zero,two_zero,three_zero,four_zero,four_one,two_one,three_one,three_two,four_two,four_three,zero_zero,one_one,two_two,three_three,four_four,zero_one,zero_two,zero_three,zero_four,one_two,one_three,one_four,two_three,two_four,three_four,home_real,away_real
A,México,Coreia do Sul,18/06,13.4325,7.7521,2.8352,0.7777,0.7418,7.3941,2.7043,1.2897,0.3538,0.1125,13.5765,14.1759,3.5263,0.41,0.0268,11.5857,5.8582,1.8626,0.4441,6.4277,2.0436,0.4873,1.1211,0.2673,0.0978,,
A,México,África do Sul,11/06,17.3574,11.213,4.6564,1.4502,1.0015,7.7437,3.2157,1.1104,0.3458,0.0796,15.0933,13.0755,2.6739,0.2556,0.0137,9.335,3.4457,0.7932,0.1369,4.2927,0.9882,0.1706,0.6155,0.1063,0.0441,,
A,Tchéquia,México,24/06,11.0109,5.3483,1.6294,0.3723,0.4255,6.1126,1.8622,1.0641,0.2431,0.0926,13.4982,14.0687,3.493,0.4054,0.0265,13.9424,8.3632,3.1861,0.9103,7.6436,2.9119,0.832,1.3307,0.3802,0.1158,,
A,África do Sul,Coreia do Sul,24/06,8.4695,4.0461,1.1958,0.2651,0.3686,5.6258,1.6627,1.1559,0.2562,0.1188,10.9507,13.3473,3.9111,0.5357,0.0413,13.6552,9.9502,4.6117,1.6031,8.8223,4.0889,1.4213,1.8127,0.6301,0.1862,,
A,Coreia do Sul,Tchéquia,11/06,10.3839,7.0512,2.9981,0.9561,1.1219,8.274,3.518,2.064,0.6582,0.2574,9.3393,13.6449,4.8544,0.8073,0.0755,9.4986,5.9671,2.334,0.6847,7.6114,2.9771,0.8733,1.8987,0.557,0.2368,,
A,Tchéquia,África do Sul,18/06,13.3313,9.3269,4.1422,1.3797,1.2742,8.614,3.8255,1.7666,0.5884,0.1811,11.1783,13.6004,3.9777,0.5438,0.0418,9.0357,4.4817,1.3797,0.3186,5.9711,1.8382,0.4244,1.2246,0.2827,0.1256,,
B,Suíça,Canadá,24/06,12.3558,8.9008,4.056,1.3862,1.3689,8.7901,4.0055,1.9778,0.676,0.2225,10.1914,13.5258,4.3404,0.6511,0.0549,8.7409,4.6449,1.5291,0.3775,6.3499,2.0903,0.5161,1.4288,0.3528,0.1607,,
B,Canadá,Catar,18/06,11.8315,12.6279,8.6221,4.4152,3.4462,9.8566,6.7298,2.6264,1.345,0.3499,6.5179,10.1224,3.8467,0.6833,0.0683,4.2,1.8337,0.4771,0.0931,3.7559,0.9772,0.1907,1.0008,0.1953,0.1333,,
B,Canadá,Bósnia e Herzegovina,12/06,16.084,12.9187,6.6722,2.5845,1.7703,8.849,4.5703,1.5653,0.6063,0.1384,11.354,12.0139,3.0307,0.3574,0.0237,6.7805,2.5248,0.5765,0.0987,3.912,0.8932,0.153,0.692,0.1185,0.0612,,
B,Catar,Suíça,13/06,2.0951,0.92,0.2311,0.0436,0.1193,2.519,0.6329,0.8664,0.1633,0.149,3.5851,7.0304,3.4486,0.7908,0.102,8.5222,12.141,11.0808,7.585,9.1509,8.3518,5.7169,3.1475,2.1545,0.5413,,
B,Suíça,Bósnia e Herzegovina,18/06,13.268,14.2273,9.8223,5.0858,3.364,9.4105,6.4969,2.1486,1.1125,0.2453,7.104,9.5579,3.1123,0.4737,0.0406,3.917,1.4511,0.3199,0.0529,3.0054,0.6626,0.1096,0.6862,0.1135,0.0783,,
B,Bósnia e Herzegovina,Catar,24/06,10.0546,7.347,3.3598,1.1524,1.3627,8.6881,3.9731,2.3492,0.8057,0.3176,8.4629,13.3215,5.137,0.926,0.0939,8.5761,5.4586,2.1517,0.6361,7.4888,2.9519,0.8727,2.0249,0.5986,0.2738,,
C,Brasil,Marrocos,13/06,17.1385,8.4167,2.6522,0.6268,0.4542,6.0988,1.9218,0.6963,0.1646,0.0397,19.5044,13.5709,2.2096,0.1682,0.0072,12.9804,4.9449,1.1944,0.2164,4.6746,1.1291,0.2045,0.5337,0.0967,0.0305,,
C,Escócia,Brasil,24/06,4.7944,1.7213,0.3722,0.0604,0.1127,3.2135,0.6948,0.6486,0.1052,0.0654,8.6957,10.4217,2.9997,0.4036,0.0305,14.7627,14.2591,8.8734,4.1414,9.2491,5.7557,2.6863,1.8667,0.8712,0.1884,,
C,Brasil,Haiti,19/06,7.3081,13.4398,16.0957,14.4573,6.4646,6.0096,7.1972,1.6091,1.4453,0.2154,2.2556,3.5186,1.3436,0.2398,0.0241,0.7579,0.2082,0.031,0.0035,0.7479,0.1115,0.0125,0.2003,0.0224,0.0268,,
C,Escócia,Marrocos,19/06,8.7335,2.6074,0.4858,0.0679,0.0837,3.2153,0.5991,0.3694,0.0516,0.0212,17.2859,12.1,1.9824,0.1518,0.0065,19.9852,12.6896,5.216,1.608,7.0931,2.9156,0.8988,0.8149,0.2512,0.0468,,
C,Marrocos,Haiti,24/06,15.2626,18.4792,14.6181,8.6728,3.342,7.1207,5.6329,1.0853,0.6439,0.0827,6.8731,6.3118,1.3719,0.1394,0.008,2.2179,0.4872,0.0626,0.006,1.1562,0.1485,0.0143,0.1762,0.017,0.0134,,
C,Haiti,Escócia,13/06,3.8649,1.6523,0.4191,0.0797,0.1694,3.5102,0.8904,0.9458,0.1799,0.1274,6.1846,9.7034,3.7286,0.6697,0.0677,11.6457,12.8776,9.119,4.8431,9.7995,6.9394,3.6855,2.6403,1.4023,0.3557,,
D,EUA,Austrália,19/06,10.4508,4.8922,1.4327,0.3147,0.3741,5.8151,1.703,1.0122,0.2223,0.0881,13.3608,13.9229,3.4561,0.401,0.0262,14.381,8.9545,3.548,1.0543,7.8674,3.1172,0.9263,1.3694,0.4069,0.1192,,
D,EUA,Paraguai,12/06,12.8643,5.9948,1.7667,0.3905,0.3872,5.9444,1.7519,0.8686,0.192,0.0635,16.0341,14.1431,2.9472,0.2871,0.0157,14.5124,7.5405,2.4924,0.6179,6.6669,2.2036,0.5463,0.9742,0.2415,0.0712,,
D,Turquia,EUA,25/06,8.9768,6.9118,3.3139,1.1917,1.5171,8.7995,4.219,2.6857,0.9658,0.4098,7.3151,12.869,5.6014,1.1397,0.1304,7.8726,5.4148,2.2979,0.7314,7.7885,3.3052,1.052,2.3771,0.7566,0.3628,,
