position,team,champion,final,semifinals,quarterfinals,round_of_16,round_of_32,group_first_place,group_second_place,group_third_place
1,Espanha,15.73,24.81,37.15,49.91,70.06,99.06,75.16,21.12,3.16
2,Argentina,12.49,20.17,32.31,46.0,61.48,97.16,70.76,20.51,6.84
3,Inglaterra,9.03,15.95,26.9,43.45,64.76,97.77,67.79,24.72,6.14
4,França,6.74,12.74,22.72,38.32,62.58,92.73,51.46,28.85,15.19
5,Marrocos,6.21,11.31,21.22,35.97,57.23,96.72,48.85,36.14,13.46
6,Colômbia,5.37,11.08,19.96,35.32,58.52,88.15,45.25,30.19,16.33
7,Alemanha,4.55,9.92,20.0,36.53,67.8,96.86,58.63,29.17,10.42
8,Japão,4.39,8.78,17.91,32.69,50.26,91.99,45.2,35.1,14.54
9,Portugal,4.37,8.97,17.29,31.48,54.4,85.32,38.86,32.87,18.47
10,Brasil,3.87,7.95,16.15,30.82,51.78,95.34,41.66,38.76,17.52
11,Países Baixos,3.55,8.02,15.73,30.85,49.44,91.89,44.7,35.27,14.56
12,Equador,3.06,6.64,13.27,27.68,52.95,90.59,31.62,43.49,20.14
13,Uruguai,2.94,6.26,13.15,24.86,42.85,89.29,21.84,55.77,17.26
14,Noruega,2.51,5.75,12.18,24.75,48.42,82.01,28.09,33.28,26.49
15,Bélgica,2.17,4.83,11.09,27.26,53.62,89.82,52.64,25.84,13.97
16,Suíça,1.78,4.37,10.89,25.73,58.83,95.59,61.12,26.75,9.18
17,Austrália,1.67,4.23,10.23,24.36,48.44,81.1,38.45,26.16,20.93
18,Croácia,1.55,3.94,9.3,19.42,42.39,87.5,25.32,47.66,19.57
19,México,1.28,3.12,8.11,18.88,46.89,87.92,46.81,28.21,16.24
20,Senegal,1.21,2.78,7.33,17.36,37.63,71.61,17.57,28.78,36.25
21,Áustria,1.06,2.73,6.66,14.39,28.48,74.49,16.24,37.71,29.47
22,Paraguai,0.6,1.69,4.5,12.95,32.25,65.67,21.08,25.21,26.75
23,Argélia,0.44,1.05,3.22,8.3,19.22,58.58,9.21,27.03,36.03
24,Uzbequistão,0.39,1.23,3.25,8.02,20.12,48.83,8.96,20.1,32.51
25,Canadá,0.38,1.55,4.58,14.2,41.25,85.46,28.44,41.66,20.56
26,Turquia,0.35,1.38,4.16,11.96,30.74,64.0,21.28,24.0,25.44
27,República Democrática do Congo,0.33,0.8,2.28,6.2,15.95,42.57,6.93,16.84,32.69
28,Escócia,0.28,0.92,2.93,9.26,23.77,69.71,9.12,22.17,53.49
29,EUA,0.28,0.99,3.06,10.57,29.15,62.81,19.19,24.63,26.88
30,Egito,0.23,0.88,2.98,9.44,28.66,65.98,18.03,28.06,29.5
31,Coreia do Sul,0.23,0.81,2.97,9.69,32.94,74.97,26.2,29.0,25.53
32,Tunísia,0.2,0.52,1.83,6.04,16.13,45.18,5.56,16.33,37.85
33,Irã,0.17,0.99,3.25,10.31,31.06,68.66,20.19,27.59,28.71
34,Costa do Marfim,0.15,0.57,2.43,8.83,24.26,62.9,8.74,22.45,48.41
35,África do Sul,0.08,0.24,0.97,4.11,18.45,53.44,12.45,20.64,29.11
36,Tchéquia,0.07,0.33,1.2,5.3,21.01,57.52,14.54,22.15,29.12
37,Suécia,0.07,0.26,0.97,3.67,11.86,36.59,4.54,13.3,33.05
38,Jordânia,0.07,0.28,1.01,3.37,8.7,34.07,3.79,14.75,27.66
39,Nova Zelândia,0.05,0.29,1.04,4.28,16.1,46.02,9.14,18.51,27.82
40,Iraque,0.03,0.21,0.75,2.51,8.46,24.73,2.88,9.09,22.07
41,Gana,0.03,0.06,0.28,1.54,6.27,29.43,2.27,10.39,32.63
42,Arábia Saudita,0.03,0.22,0.81,3.22,10.73,37.67,1.97,13.69,44.8
43,Haiti,0.01,0.02,0.05,0.31,1.52,10.43,0.37,2.93,15.53
44,Catar,0.0,0.01,0.14,1.64,8.96,36.18,4.17,13.45,32.03
45,Curaçao,0.0,0.01,0.12,0.6,3.18,15.48,1.01,4.89,21.03
46,Panamá,0.0,0.21,0.88,3.37,11.67,46.21,4.62,17.23,41.66
47,Cabo Verde,0.0,0.05,0.29,1.43,5.6,25.53,1.03,9.42,34.78
48,Bósnia e Herzegovina,0.0,0.08,0.5,2.85,13.18,48.47,6.27,18.14,38.23
