home_team,away_team,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
México,Coreia do Sul,49.626,27.054,23.32,10.45,8.856,3.888,1.212,0.242,14.283,12.136,5.357,1.61,0.384,10.061,8.772,3.876,1.092,0.268,4.756,4.084,1.807,0.55,0.148,1.753,1.549,0.68,0.187,0.038
México,África do Sul,58.729,25.766,15.505,11.784,7.409,2.372,0.554,0.08,17.494,10.901,3.407,0.737,0.139,13.197,8.178,2.734,0.569,0.094,6.678,4.201,1.395,0.327,0.069,2.818,1.714,0.587,0.107,0.019
Tchéquia,México,18.746,25.675,55.579,10.447,15.393,11.775,6.162,2.526,7.82,11.405,8.636,4.493,1.746,2.971,4.478,3.325,1.676,0.703,0.736,1.078,0.847,0.456,0.189,0.161,0.275,0.174,0.099,0.04
África do Sul,Coreia do Sul,26.324,24.318,49.358,6.5,10.283,8.327,4.74,1.952,7.14,11.404,9.236,5.154,2.241,3.996,6.38,5.186,2.825,1.221,1.597,2.447,1.989,1.084,0.467,0.471,0.719,0.563,0.331,0.128
Coreia do Sul,Tchéquia,45.323,23.697,30.98,5.203,6.695,4.567,1.973,0.754,8.375,10.79,7.141,3.168,1.139,6.942,8.789,5.922,2.684,0.966,3.979,4.99,3.312,1.522,0.581,1.666,2.161,1.403,0.656,0.237
Tchéquia,África do Sul,42.12,25.926,31.954,7.264,8.603,5.229,2.179,0.703,10.139,12.214,7.196,3.01,0.932,7.178,8.596,5.22,2.132,0.706,3.51,4.14,2.515,1.086,0.329,1.382,1.564,0.945,0.378,0.135
México,Canadá,43.983,30.31,25.707,14.214,11.325,4.507,1.275,0.272,16.308,12.741,5.368,1.413,0.299,9.406,7.407,2.993,0.82,0.18,3.536,2.995,1.176,0.342,0.077,1.106,0.869,0.349,0.081,0.02
México,Suíça,32.751,28.821,38.428,11.412,12.642,7.457,2.926,0.901,11.505,12.886,7.537,2.96,0.911,6.063,6.769,3.901,1.565,0.529,2.266,2.47,1.391,0.555,0.178,0.594,0.652,0.395,0.162,0.062
México,Catar,70.351,19.27,10.379,7.39,4.482,1.381,0.3,0.05,14.314,8.71,2.73,0.581,0.094,14.44,8.642,2.745,0.552,0.084,9.957,5.821,1.772,0.39,0.06,5.093,3.159,0.922,0.227,0.034
México,Bósnia e Herzegovina,61.824,24.419,13.757,11.292,6.494,2.088,0.41,0.085,17.479,10.322,3.172,0.691,0.098,14.009,8.375,2.48,0.524,0.1,7.616,4.383,1.401,0.301,0.045,3.148,1.912,0.562,0.121,0.023
México,Brasil,22.948,28.884,48.168,13.119,16.333,10.346,4.361,1.453,10.022,12.319,7.917,3.385,1.209,3.968,4.922,3.073,1.37,0.473,1.082,1.301,0.804,0.343,0.122,0.226,0.272,0.158,0.065,0.029
México,Marrocos,21.174,34.708,44.118,21.153,20.434,10.155,3.388,0.849,12.088,11.745,5.736,1.877,0.487,3.626,3.443,1.675,0.595,0.145,0.663,0.696,0.328,0.134,0.027,0.115,0.096,0.061,0.018,0.001
México,Escócia,43.977,28.735,27.288,11.915,10.537,4.872,1.549,0.381,14.457,12.775,5.837,1.856,0.431,8.919,7.827,3.518,1.115,0.268,3.825,3.444,1.524,0.483,0.128,1.207,1.076,0.53,0.16,0.04
México,Haiti,73.545,17.871,8.584,7.451,3.971,1.095,0.22,0.035,15.101,7.858,2.23,0.433,0.068,15.285,8.366,2.248,0.418,0.058,10.672,5.826,1.681,0.282,0.032,5.771,3.086,0.831,0.147,0.029
México,EUA,45.463,28.513,26.024,11.576,10.042,4.53,1.388,0.358,14.441,12.759,5.683,1.695,0.418,9.34,8.095,3.64,1.206,0.292,4.077,3.565,1.548,0.499,0.138,1.34,1.237,0.535,0.139,0.038
México,Austrália,34.25,31.802,33.948,15.633,14.656,6.614,2.189,0.533,14.516,13.104,5.992,1.934,0.493,6.81,6.134,2.745,0.93,0.225,2.192,1.994,0.921,0.304,0.074,0.521,0.491,0.252,0.075,0.016
México,Paraguai,39.563,33.624,26.813,18.547,13.362,4.971,1.244,0.251,17.673,12.576,4.732,1.147,0.233,8.393,5.982,2.283,0.572,0.127,2.943,1.907,0.773,0.211,0.047,0.738,0.534,0.183,0.053,0.007
México,Turquia,44.718,27.988,27.294,10.793,9.954,4.856,1.481,0.387,13.861,12.595,6.054,1.977,0.487,8.894,8.16,3.976,1.28,0.319,3.856,3.671,1.708,0.573,0.143,1.292,1.267,0.595,0.175,0.046
México,Alemanha,23.364,26.172,50.464,9.391,13.741,10.058,5.051,1.922,8.454,12.086,8.668,4.3,1.723,3.82,5.506,4.053,1.95,0.789,1.13,1.72,1.234,0.597,0.236,0.287,0.429,0.306,0.183,0.039
México,Equador,27.449,38.603,33.948,25.586,18.644,6.783,1.808,0.343,15.926,11.53,4.399,1.158,0.245,5.105,3.685,1.419,0.369,0.057,1.187,0.776,0.316,0.065,0.015,0.181,0.146,0.034,0.015,0.003
México,Costa do Marfim,52.616,29.476,17.908,15.654,9.338,2.901,0.594,0.092,19.459,11.345,3.547,0.72,0.117,12.196,7.255,2.261,0.44,0.067,5.31,3.128,0.969,0.206,0.039,1.746,0.97,0.326,0.086,0.01
México,Curaçao,72.791,19.105,8.104,9.055,4.249,1.024,0.181,0.021,16.975,7.995,1.903,0.293,0.032,16.572,7.822,1.84,0.298,0.047,10.812,5.065,1.214,0.201,0.036,5.527,2.525,0.611,0.104,0.014
México,Países Baixos,24.571,27.476,47.953,10.737,14.4,9.618,4.6,1.695,9.535,12.407,8.341,3.995,1.373,4.156,5.394,3.765,1.691,0.591,1.309,1.689,1.12,0.531,0.167,0.289,0.411,0.263,0.143,0.035
México,Japão,25.442,28.626,45.932,12.229,15.183,9.539,4.113,1.301,10.448,12.595,7.954,3.43,1.119,4.528,5.316,3.345,1.516,0.514,1.312,1.59,1.017,0.419,0.136,0.311,0.328,0.244,0.111,0.037
México,Tunísia,46.993,32.638,20.369,18.763,11.113,3.362,0.703,0.104,19.667,11.697,3.625,0.771,0.105,10.964,6.452,2.016,0.439,0.07,4.032,2.374,0.699,0.155,0.021,1.159,0.76,0.217,0.043,0.007
México,Suécia,50.715,24.763,24.522,7.701,7.874,3.818,1.346,0.333,11.947,11.638,5.955,2.045,0.525,9.352,9.218,4.461,1.541,0.416,4.972,4.782,2.464,0.864,0.217,2.038,1.995,1.007,0.349,0.088
