group,home_team,away_team,date,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
A,México,Coreia do Sul,18/06,49.59,27.117,23.293,10.423,9.01,3.795,1.153,0.252,14.166,12.342,5.376,1.632,0.376,10.182,8.643,3.747,1.081,0.246,4.799,4.153,1.847,0.559,0.123,1.749,1.477,0.696,0.18,0.044
B,Suíça,Canadá,24/06,52.135,24.012,23.853,6.725,6.948,3.711,1.231,0.353,11.068,11.276,5.949,2.097,0.544,9.267,9.231,4.822,1.772,0.462,5.169,5.169,2.794,1.059,0.28,2.253,2.352,1.184,0.429,0.121
C,Brasil,Marrocos,13/06,32.806,32.033,35.161,15.802,14.636,7.146,2.312,0.61,14.095,13.017,6.254,2.087,0.514,6.401,5.993,2.888,0.916,0.236,2.014,1.826,0.919,0.305,0.064,0.477,0.454,0.242,0.077,0.02
D,EUA,Austrália,19/06,26.782,25.824,47.394,8.363,11.914,8.833,4.49,1.719,8.59,11.895,8.921,4.292,1.69,4.343,6.296,4.65,2.375,0.91,1.501,2.255,1.6,0.832,0.312,0.424,0.621,0.407,0.221,0.078
E,Equador,Alemanha,25/06,26.382,30.186,43.432,13.973,15.734,9.029,3.692,1.164,11.269,12.74,7.394,2.966,0.96,4.783,5.3,3.125,1.191,0.346,1.395,1.575,0.893,0.327,0.107,0.322,0.344,0.198,0.095,0.019
F,Países Baixos,Japão,14/06,39.042,24.736,36.222,6.168,8.215,5.761,2.678,1.018,8.708,11.354,8.016,3.71,1.306,6.139,8.112,5.695,2.556,0.952,3.059,4.097,2.839,1.344,0.458,1.12,1.53,1.043,0.498,0.159
G,Bélgica,Egito,15/06,56.594,26.214,17.192,11.321,7.665,2.781,0.616,0.104,16.376,11.45,3.901,0.948,0.183,12.491,8.609,3.045,0.706,0.122,6.318,4.307,1.461,0.371,0.072,2.411,1.753,0.599,0.141,0.025
H,Uruguai,Espanha,26/06,18.987,26.822,54.191,11.77,16.532,11.748,5.676,2.158,8.313,11.604,8.342,4.122,1.52,2.992,4.241,3.067,1.518,0.565,0.793,1.073,0.764,0.353,0.15,0.172,0.224,0.188,0.08,0.027
I,França,Senegal,16/06,58.485,23.91,17.605,8.559,6.718,2.725,0.729,0.146,13.958,11.023,4.342,1.204,0.255,11.781,9.264,3.698,1.016,0.203,6.727,5.099,2.111,0.573,0.114,2.891,2.299,0.907,0.225,0.052
J,Argentina,Áustria,22/06,62.454,23.194,14.352,9.289,6.258,2.075,0.507,0.1,15.562,10.467,3.446,0.806,0.151,13.202,8.768,2.962,0.73,0.115,7.743,5.095,1.65,0.441,0.077,3.425,2.319,0.782,0.182,0.035
K,Colômbia,Portugal,27/06,39.033,24.559,36.408,5.795,7.972,5.628,2.633,0.998,8.253,11.443,7.999,3.776,1.413,6.086,8.333,5.801,2.853,0.986,2.956,4.139,2.838,1.302,0.475,1.14,1.563,1.153,0.527,0.207
L,Inglaterra,Croácia,17/06,51.55,27.234,21.216,11.479,8.991,3.439,0.944,0.197,15.68,12.003,4.638,1.342,0.263,10.919,8.386,3.301,0.956,0.186,5.248,3.976,1.561,0.416,0.104,1.889,1.563,0.57,0.183,0.03
A,México,África do Sul,11/06,58.794,25.647,15.559,11.649,7.388,2.375,0.501,0.089,17.364,10.961,3.511,0.776,0.096,13.098,8.269,2.707,0.612,0.091,6.996,4.326,1.341,0.311,0.053,2.7,1.738,0.552,0.099,0.018
B,Canadá,Catar,18/06,63.736,20.421,15.843,5.631,5.007,2.129,0.676,0.141,11.072,9.453,4.296,1.228,0.314,11.08,9.515,4.334,1.311,0.282,7.571,6.454,2.861,0.89,0.206,3.915,3.401,1.445,0.42,0.1
C,Escócia,Brasil,24/06,16.429,21.058,62.513,6.317,11.622,11.103,7.386,3.677,5.265,9.753,9.485,6.171,3.034,2.292,4.363,4.045,2.715,1.385,0.702,1.332,1.317,0.841,0.416,0.144,0.313,0.267,0.192,0.094
D,EUA,Paraguai,12/06,33.504,28.556,37.94,10.991,12.204,7.153,2.941,0.897,11.232,12.788,7.455,3.054,0.997,6.183,7.054,4.102,1.713,0.507,2.258,2.601,1.532,0.619,0.201,0.705,0.697,0.422,0.175,0.053
E,Alemanha,Costa do Marfim,20/06,73.779,16.601,9.62,5.238,3.466,1.233,0.307,0.049,11.448,7.782,2.757,0.676,0.12,13.028,8.79,2.979,0.711,0.124,10.035,6.788,2.397,0.546,0.094,6.044,3.974,1.483,0.308,0.051
