group,home_team,away_team,date,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
A,Mexico,South Africa,Data não encontrada,10.861,7.784,2.89,0.735,0.164,16.032,11.375,4.078,1.017,0.208,12.011,8.459,3.091,0.841,0.145,6.284,4.466,1.568,0.409,0.07,2.371,1.817,0.684,0.15,0.035
B,Canada,Bosnia and Herzegovina,Data não encontrada,8.073,6.235,2.569,0.713,0.152,13.655,10.696,4.302,1.227,0.249,11.958,9.176,3.758,1.039,0.205,6.962,5.387,2.14,0.575,0.122,3.081,2.446,0.971,0.295,0.062
C,Brazil,Morocco,Data não encontrada,13.205,14.535,8.441,3.306,1.033,11.531,13.138,7.364,2.96,0.878,5.225,5.69,3.33,1.383,0.422,1.651,1.8,1.084,0.434,0.152,0.399,0.477,0.259,0.103,0.037
D,United States,Paraguay,Data não encontrada,11.331,12.488,7.057,2.93,0.919,11.467,12.977,7.443,3.012,0.968,6.166,6.845,3.958,1.621,0.52,2.134,2.548,1.506,0.556,0.193,0.644,0.717,0.383,0.158,0.057
E,Germany,Curaçao,Data não encontrada,2.433,1.349,0.378,0.071,0.014,7.392,3.969,1.162,0.227,0.034,11.475,6.094,1.8,0.345,0.049,12.002,6.696,1.892,0.361,0.063,9.836,5.551,1.513,0.303,0.049
F,Netherlands,Japan,Data não encontrada,3.94,6.772,5.745,3.476,1.562,5.946,9.708,8.298,4.901,2.192,4.562,7.515,6.528,3.692,1.674,2.338,3.877,3.343,1.985,0.901,0.917,1.598,1.361,0.785,0.345
G,Belgium,Egypt,Data não encontrada,9.201,8.043,3.539,1.128,0.298,13.668,11.837,5.432,1.661,0.395,10.129,8.851,4.052,1.176,0.315,5.225,4.655,2.067,0.608,0.146,2.129,1.819,0.825,0.232,0.049
H,Spain,Cape Verde,Data não encontrada,2.766,1.312,0.354,0.044,0.011,8.245,3.954,1.033,0.16,0.035,12.497,6.036,1.489,0.275,0.037,13.288,6.143,1.551,0.302,0.039,10.559,5.168,1.228,0.209,0.027
I,France,Senegal,Data não encontrada,11.706,9.983,4.411,1.326,0.31,14.786,12.702,5.549,1.636,0.373,9.481,8.126,3.43,1.069,0.222,4.228,3.57,1.583,0.42,0.1,1.477,1.197,0.529,0.154,0.029
J,Argentina,Algeria,Data não encontrada,8.25,4.53,1.221,0.266,0.05,15.777,8.476,2.471,0.468,0.084,15.088,8.214,2.252,0.483,0.07,9.989,5.602,1.527,0.347,0.059,5.155,2.768,0.797,0.142,0.023
K,Portugal,DR Congo,Data não encontrada,13.342,8.471,2.783,0.618,0.109,18.051,11.504,3.662,0.864,0.161,12.259,7.911,2.562,0.615,0.102,5.885,3.671,1.228,0.283,0.071,2.107,1.339,0.46,0.097,0.024
L,England,Croatia,Data não encontrada,9.988,7.532,3.138,0.823,0.208,14.734,11.428,4.592,1.349,0.297,11.43,8.888,3.468,0.955,0.22,6.093,4.422,1.841,0.511,0.113,2.409,1.877,0.786,0.204,0.038
A,Mexico,South Korea,Data não encontrada,10.758,9.525,4.51,1.487,0.377,13.954,12.359,5.895,1.871,0.47,9.208,8.362,3.786,1.246,0.302,4.201,3.809,1.709,0.587,0.135,1.524,1.276,0.637,0.187,0.056
B,Canada,Qatar,Data não encontrada,5.26,4.576,1.958,0.614,0.124,10.721,9.22,3.942,1.221,0.307,11.217,9.599,4.132,1.246,0.292,7.696,6.74,2.978,0.906,0.222,4.26,3.506,1.634,0.454,0.118
C,Brazil,Haiti,Data não encontrada,2.462,1.478,0.427,0.09,0.02,7.305,4.527,1.368,0.286,0.056,11.015,6.683,2.007,0.404,0.053,11.57,6.941,2.18,0.449,0.08,9.331,5.583,1.729,0.352,0.053
D,United States,Australia,Data não encontrada,7.926,12.016,9.426,5.061,2.018,7.617,11.603,9.13,4.787,2.001,3.941,5.943,4.344,2.434,0.96,1.32,2.03,1.592,0.859,0.386,0.338,0.572,0.451,0.236,0.082
E,Germany,Ivory Coast,Data não encontrada,6.907,5.169,1.988,0.503,0.102,12.749,9.52,3.68,0.956,0.193,12.441,9.414,3.524,0.94,0.175,8.197,5.971,2.4,0.606,0.119,4.045,3.12,1.161,0.303,0.046
F,Netherlands,Sweden,Data não encontrada,1.855,2.249,1.429,0.523,0.186,4.853,5.984,3.693,1.575,0.571,6.698,8.211,5.032,2.144,0.753,6.215,7.562,4.731,1.978,0.677,4.565,5.508,3.353,1.438,0.479
G,Belgium,Iran,Data não encontrada,8.104,8.194,4.294,1.563,0.462,11.904,11.863,6.202,2.302,0.667,8.678,8.809,4.591,1.671,0.49,4.529,4.501,2.301,0.885,0.244,1.786,1.78,0.941,0.33,0.093
H,Spain,Saudi Arabia,Data não encontrada,4.85,2.28,0.606,0.11,0.013,11.99,5.725,1.364,0.259,0.039,15.064,7.173,1.771,0.276,0.038,13.229,6.21,1.507,0.243,0.039,8.721,4.188,0.98,0.138,0.024
I,France,Iraq,Data não encontrada,8.395,4.775,1.361,0.276,0.064,15.943,8.763,2.531,0.499,0.086,14.859,8.447,2.436,0.5,0.072,9.504,5.425,1.546,0.315,0.042,4.968,2.77,0.791,0.159,0.021
J,Argentina,Austria,Data não encontrada,10.466,6.048,1.791,0.409,0.082,16.798,9.897,2.94,0.665,0.1,14.24,8.158,2.523,0.537,0.089,8.25,4.813,1.503,0.323,0.058,3.808,2.095,0.683,0.13,0.015
K,Portugal,Uzbekistan,Data não encontrada,11.545,8.529,3.329,0.843,0.171,15.545,11.589,4.494,1.187,0.277,11.242,8.386,3.272,0.886,0.206,5.44,4.174,1.598,0.409,0.076,2.188,1.592,0.61,0.158,0.025
L,England,Ghana,Data não encontrada,5.472,2.686,0.757,0.13,0.022,12.654,6.453,1.814,0.322,0.059,15.079,7.626,1.944,0.38,0.059,12.072,6.205,1.659,0.301,0.034,7.707,3.94,0.986,0.185,0.034
A,Mexico,Czech Republic,Data não encontrada,10.134,7.606,3.043,0.84,0.145,14.949,11.436,4.381,1.183,0.244,11.531,8.639,3.432,0.942,0.195,6.242,4.575,1.816,0.474,0.091,2.476,1.949,0.72,0.199,0.043
B,Canada,Switzerland,Data não encontrada,8.214,11.971,9.042,4.778,1.906,8.154,11.911,8.846,4.552,1.877,4.051,6.019,4.592,2.311,0.904,1.462,2.149,1.64,0.815,0.348,0.398,0.562,0.422,0.235,0.087
