position,team,champion,final,semifinals,quarterfinals,round_of_16,round_of_32,group_first_place,group_second_place,group_third_place
1,Espanha,15.57,24.88,37.76,50.26,71.03,99.37,76.7,20.38,2.55
2,Argentina,13.62,21.83,34.19,48.75,63.51,97.96,74.28,18.92,5.46
3,Inglaterra,9.24,16.39,28.3,45.38,67.39,97.95,67.26,25.54,5.97
4,França,7.84,14.41,25.62,41.83,67.19,94.8,56.62,27.64,12.52
5,Colômbia,5.56,11.14,20.75,37.06,60.88,91.38,46.09,34.33,13.92
6,Alemanha,5.51,11.17,22.28,39.6,71.83,98.13,65.1,26.62,7.18
7,Marrocos,4.9,9.9,19.12,34.16,54.78,95.68,42.3,39.47,16.23
8,Portugal,4.86,9.87,19.12,35.02,58.92,90.58,43.37,35.83,14.84
9,Brasil,4.68,9.35,18.55,33.94,54.64,96.37,47.45,35.72,15.01
10,Países Baixos,4.02,8.52,17.29,32.85,50.65,92.46,46.88,34.44,13.69
11,Japão,3.63,7.8,16.07,31.1,49.27,91.34,42.57,36.54,15.3
12,Uruguai,2.7,6.12,12.9,24.84,42.36,90.97,20.95,58.9,15.97
13,Bélgica,2.5,6.04,13.42,32.66,59.56,93.86,61.86,23.29,10.49
14,Noruega,2.33,5.44,12.14,25.11,49.88,84.33,27.29,36.18,26.58
15,Equador,2.2,5.22,11.6,24.35,50.77,90.58,28.28,47.65,19.51
16,Croácia,1.87,4.65,10.53,21.56,45.63,89.81,26.83,49.27,18.12
17,Suíça,1.72,4.56,11.38,27.85,63.02,96.52,63.64,25.52,8.4
18,Austrália,1.38,3.56,8.76,22.24,47.94,81.4,37.66,27.37,20.39
19,México,1.13,3.03,7.95,19.41,48.54,89.64,49.27,27.56,15.58
20,Senegal,0.92,2.48,6.46,15.75,35.54,69.84,14.08,28.47,39.14
21,Áustria,0.92,2.56,6.33,14.2,28.61,77.31,15.73,41.83,28.15
22,Paraguai,0.46,1.4,4.19,12.61,32.75,66.88,21.51,25.46,26.85
23,Canadá,0.35,1.35,4.34,14.32,43.35,85.49,26.43,42.62,21.86
24,Turquia,0.3,1.06,3.37,11.28,31.1,65.06,21.52,23.82,25.91
25,EUA,0.26,0.91,2.94,10.02,28.6,62.34,19.32,23.35,26.85
26,Escócia,0.25,0.9,3.12,9.72,24.48,71.8,9.72,22.26,53.8
27,Argélia,0.21,0.73,2.4,6.91,17.18,57.38,7.15,25.96,38.15
28,Uzbequistão,0.16,0.57,1.88,5.52,15.44,44.48,6.2,16.64,37.2
29,Coreia do Sul,0.13,0.53,2.14,7.89,29.67,73.3,24.32,29.28,25.7
30,Egito,0.12,0.53,2.02,7.78,26.27,64.65,14.4,29.23,30.9
31,Irã,0.11,0.5,1.96,7.82,27.02,66.28,16.22,29.16,29.6
32,República Democrática do Congo,0.1,0.37,1.19,3.64,11.22,36.13,4.33,13.2,34.04
33,Tunísia,0.07,0.32,1.21,4.54,14.02,40.0,4.52,13.93,35.1
34,Suécia,0.07,0.34,1.32,4.88,14.96,42.84,6.03,15.1,35.91
35,Tchéquia,0.05,0.24,1.09,4.66,20.56,60.36,15.29,23.55,29.43
36,Costa do Marfim,0.05,0.31,1.36,5.94,18.89,56.93,5.69,20.19,49.73
37,África do Sul,0.03,0.14,0.69,3.22,15.49,51.32,11.12,19.62,29.28
38,Panamá,0.03,0.18,0.83,3.16,11.07,46.08,4.04,16.05,43.83
39,Iraque,0.02,0.1,0.43,1.91,7.07,22.0,2.0,7.71,21.75
40,Bósnia e Herzegovina,0.02,0.1,0.53,3.22,15.49,50.74,6.49,19.39,39.34
41,Nova Zelândia,0.02,0.13,0.64,3.11,14.23,44.75,7.52,18.32,29.01
42,Arábia Saudita,0.02,0.12,0.63,3.23,10.23,39.09,1.61,13.43,48.43
43,Jordânia,0.02,0.13,0.56,2.3,7.2,32.1,2.84,13.28,28.23
44,Gana,0.01,0.06,0.25,1.22,4.92,27.52,1.87,9.14,32.07
45,Catar,0.0,0.02,0.14,1.27,8.12,33.72,3.44,12.47,30.4
46,Curaçao,0.0,0.01,0.07,0.62,3.13,17.09,0.92,5.54,23.58
47,Cabo Verde,0.0,0.03,0.15,1.03,4.19,21.23,0.73,7.29,33.04
48,Haiti,0.0,0.0,0.03,0.23,1.4,10.16,0.53,2.55,14.96
