numero,fase,rodada,grupo,data,data_et,hora_et,data_brt,cidade,regiao,mandante_codigo,mandante,visitante_codigo,visitante,observacao
1,Fase de grupos,1ª rodada,A,2026-06-11,2026-06-11,15:00,2026-06-11 16:00,Cidade do México,Central,MEX,México,RSA,África do Sul,
2,Fase de grupos,1ª rodada,A,2026-06-11,2026-06-11,22:00,2026-06-11 23:00,Guadalajara,Central,KOR,Coreia do Sul,CZE,Tchéquia,
3,Fase de grupos,1ª rodada,B,2026-06-12,2026-06-12,15:00,2026-06-12 16:00,Toronto,Leste,CAN,Canadá,BIH,Bósnia e Herzegovina,
4,Fase de grupos,1ª rodada,D,2026-06-12,2026-06-12,21:00,2026-06-12 22:00,Los Angeles,Oeste,USA,Estados Unidos,PAR,Paraguai,
5,Fase de grupos,1ª rodada,C,2026-06-13,2026-06-13,21:00,2026-06-13 22:00,Boston,Leste,HAI,Haiti,SCO,Escócia,
6,Fase de grupos,1ª rodada,D,2026-06-13,2026-06-14,00:00,2026-06-14 01:00,Vancouver,Oeste,AUS,Austrália,TUR,Turquia,
7,Fase de grupos,1ª rodada,C,2026-06-13,2026-06-13,18:00,2026-06-13 19:00,Nova York/Nova Jersey,Leste,BRA,Brasil,MAR,Marrocos,
8,Fase de grupos,1ª rodada,B,2026-06-13,2026-06-13,15:00,2026-06-13 16:00,Área da Baía de São Francisco,Oeste,QAT,Catar,SUI,Suíça,
9,Fase de grupos,1ª rodada,E,2026-06-14,2026-06-14,19:00,2026-06-14 20:00,Philadelphia,Leste,CIV,Costa do Marfim,ECU,Equador,
10,Fase de grupos,1ª rodada,E,2026-06-14,2026-06-14,13:00,2026-06-14 14:00,Houston,Central,GER,Alemanha,CUW,Curaçao,
11,Fase de grupos,1ª rodada,F,2026-06-14,2026-06-14,16:00,2026-06-14 17:00,Dallas,Central,NED,Países Baixos,JPN,Japão,
12,Fase de grupos,1ª rodada,F,2026-06-14,2026-06-14,22:00,2026-06-14 23:00,Monterrey,Central,SWE,Suécia,TUN,Tunísia,
13,Fase de grupos,1ª rodada,H,2026-06-15,2026-06-15,18:00,2026-06-15 19:00,Miami,Leste,KSA,Arábia Saudita,URU,Uruguai,
14,Fase de grupos,1ª rodada,H,2026-06-15,2026-06-15,12:00,2026-06-15 13:00,Atlanta,Leste,ESP,Espanha,CPV,Cabo Verde,
15,Fase de grupos,1ª rodada,G,2026-06-15,2026-06-15,21:00,2026-06-15 22:00,Los Angeles,Oeste,IRN,Irã,NZL,Nova Zelândia,
16,Fase de grupos,1ª rodada,G,2026-06-15,2026-06-15,15:00,2026-06-15 16:00,Seattle,Oeste,BEL,Bélgica,EGY,Egito,
17,Fase de grupos,1ª rodada,I,2026-06-16,2026-06-16,15:00,2026-06-16 16:00,Nova York/Nova Jersey,Leste,FRA,França,SEN,Senegal,
18,Fase de grupos,1ª rodada,I,2026-06-16,2026-06-16,18:00,2026-06-16 19:00,Boston,Leste,IRQ,Iraque,NOR,Noruega,
19,Fase de grupos,1ª rodada,J,2026-06-16,2026-06-16,21:00,2026-06-16 22:00,Kansas City,Central,ARG,Argentina,ALG,Argélia,
20,Fase de grupos,1ª rodada,J,2026-06-16,2026-06-17,00:00,2026-06-17 01:00,Área da Baía de São Francisco,Oeste,AUT,Áustria,JOR,Jordânia,
