key_id,tournament_name,award_id,player_id,team_id,team_name,nome_time,team_code,year,player_name,player_wikipedia_link,posição,premio,wikipedia_profile_link,n_gols,age,n_matches
47,1978 FIFA Men's World Cup,A-1,P-35082,T-03,Argentina,Argentina,ARG,1978,Mario Kempes,https://en.wikipedia.org/wiki/Mario_Kempes,Atacante,Bola de Ouro,https://upload.wikimedia.org/wikipedia/commons/6/6d/Kempes_Valencia_CF.jpg,6,23,7
48,1978 FIFA Men's World Cup,A-2,P-91717,T-41,Italy,Itália,ITA,1978,Paolo Rossi,https://en.wikipedia.org/wiki/Paolo_Rossi,Atacante,Bola de Prata,https://upload.wikimedia.org/wikipedia/commons/b/b7/Paolo_Rossi_at_the_1982_FIFA_World_Cup_%28cropped%29.jpg,3,21,7
49,1978 FIFA Men's World Cup,A-3,P-89519,T-09,Brazil,Brasil,BRA,1978,Dirceu,https://en.wikipedia.org/wiki/Dirceu,Meio-campista,Bola de Bronze,https://upload.wikimedia.org/wikipedia/commons/b/be/US_Avellino_1986-87_-_Walter_Schachner_e_Dirceu.jpg,3,25,7
54,1982 FIFA Men's World Cup,A-1,P-91717,T-41,Italy,Itália,ITA,1982,Paolo Rossi,https://en.wikipedia.org/wiki/Paolo_Rossi,Atacante,Bola de Ouro,https://upload.wikimedia.org/wikipedia/commons/b/b7/Paolo_Rossi_at_the_1982_FIFA_World_Cup_%28cropped%29.jpg,6,25,7
55,1982 FIFA Men's World Cup,A-2,P-35736,T-09,Brazil,Brasil,BRA,1982,Falcão,https://en.wikipedia.org/wiki/Paulo_Roberto_Falc%C3%A3o,Meio-campista,Bola de Prata,https://upload.wikimedia.org/wikipedia/commons/7/73/Paulo_Roberto_Falc%C3%A3o%2C_Roma_1983-84.jpg,3,28,5
56,1982 FIFA Men's World Cup,A-3,P-59574,T-86,West Germany,Alemanha,DEU,1982,Karl-Heinz Rummenigge,https://en.wikipedia.org/wiki/Karl-Heinz_Rummenigge,Atacante,Bola de Bronze,https://upload.wikimedia.org/wikipedia/commons/f/fc/2015-02-06_Rummenigge_0370_%28cropped%29.JPG,5,26,7
61,1986 FIFA Men's World Cup,A-1,P-80404,T-03,Argentina,Alemanha,ARG,1986,Diego Maradona,https://en.wikipedia.org/wiki/Diego_Maradona,Meio-campista,Bola de Ouro,https://upload.wikimedia.org/wikipedia/commons/4/48/Argentina_celebrando_copa_%28cropped%29.jpg,5,25,7
62,1986 FIFA Men's World Cup,A-2,P-07171,T-86,West Germany,Alemanha,DEU,1986,Harald Schumacher,https://en.wikipedia.org/wiki/Harald_Schumacher,Goleiro,Bola de Prata,https://upload.wikimedia.org/wikipedia/commons/2/2b/%C3%9Cbergabe_DFB-Pokal_an_Botschafter_Toni_Schumacher_und_Janus_Fr%C3%B6hlich-6556.jpg,0,32,7
63,1986 FIFA Men's World Cup,A-3,P-36502,T-22,Denmark,Dinamarca,DNK,1986,Preben Elkjær,https://en.wikipedia.org/wiki/Preben_Elkj%C3%A6r,Atacante,Bola de Bronze,https://upload.wikimedia.org/wikipedia/commons/7/72/Preben_Elkj%C3%A6r.jpg,4,28,4
69,1990 FIFA Men's World Cup,A-1,P-76544,T-41,Italy,Itália,ITA,1990,Salvatore Schillaci,https://en.wikipedia.org/wiki/Salvatore_Schillaci,Atacante,Bola de Ouro,https://upload.wikimedia.org/wikipedia/commons/1/10/Salvatore_Schillaci.jpg,6,25,7
